,label,lat,long
0,5.0,-97.94111109999999,29.8830556
1,5.0,-98.581082,29.38421
2,4.0,-96.64583329999999,28.9783333
3,5.0,-157.8036111,21.4180556
4,2.0,-82.18888890000001,36.595
5,2.0,-73.4083333,41.1175
6,2.0,-86.28611109999999,33.5861111
7,4.0,-82.9841667,30.2947222
8,5.0,-118.35166670000001,33.9163889
9,2.0,-82.7344444,35.2333333
10,2.0,-73.5275,40.6686111
11,2.0,-83.7619444,37.1536111
12,2.0,-80.25361109999999,35.8238889
13,2.0,-83.3219444,36.8430556
14,2.0,-83.2330556,42.5377778
15,2.0,-72.1936111,41.3252778
16,2.0,-71.5666667,42.3916667
17,5.0,-98.6597222,38.1055556
18,2.0,-79.975,32.8544444
19,0.0,-122.3522222,45.5827778
20,5.0,-98.4933333,29.4238889
21,2.0,-85.7594444,38.2541667
22,2.0,-73.7133333,40.7008333
23,2.0,-73.92138890000001,41.7002778
24,5.0,-117.1563889,32.7152778
25,5.0,-104.7425,38.7583333
26,4.0,-95.3630556,29.7630556
27,5.0,-96.8,32.7833333
28,2.0,-71.45527779999999,42.9955556
29,4.0,-95.3630556,29.7630556
30,2.0,-85.6205556,44.7630556
31,2.0,-73.7633333,41.0338889
32,2.0,-73.646795,41.523427
33,2.0,-87.90638890000001,43.0388889
34,2.0,-70.2830556,43.9627778
35,5.0,-105.27,40.015
36,0.0,-122.33083329999998,47.6063889
37,5.0,-118.6375,34.1577778
38,0.0,-122.95305559999998,46.7163889
39,2.0,-86.577218,36.722263
40,4.0,-83.6533333,31.7058333
41,2.0,-75.6288889,35.235
42,2.0,-76.88472220000001,40.2736111
43,4.0,-85.66027779999999,30.1586111
44,4.0,-95.5575,29.6158333
45,2.0,-83.7247222,35.8905556
46,5.0,-97.7969444,32.7591667
47,2.0,-89.58888890000001,40.6936111
48,2.0,-85.9516667,36.2522222
49,4.0,-97.913611,26.149798
50,2.0,-73.8955556,42.9097222
51,5.0,-91.9922222,34.1027778
52,2.0,-87.90638890000001,43.0388889
53,5.0,-122.2697222,37.8044444
54,2.0,-93.7169444,39.0725
55,4.0,-79.9311111,32.7763889
56,2.0,-84.3622222,39.4402778
57,2.0,-85.14111109999999,39.6411111
58,5.0,-111.8219444,33.4222222
59,4.0,-83.59611109999999,32.5436111
60,2.0,-92.9744444,43.6666667
61,5.0,-118.32583329999999,34.0983333
62,5.0,-112.07333329999999,33.4483333
63,2.0,-88.28111109999999,42.0372222
64,5.0,-115.1363889,36.175
65,5.0,-115.1363889,36.175
66,2.0,-73.901708,40.935998
67,0.0,-117.425,47.6588889
68,2.0,-80.8102778,35.5847222
69,2.0,-84.55333329999999,35.265
70,5.0,-122.13305559999999,38.0194444
71,2.0,-94.6272222,39.1141667
72,5.0,-96.8,32.7833333
73,5.0,-117.1563889,32.7152778
74,0.0,-119.13611110000001,46.2113889
75,5.0,-122.0797222,37.6688889
76,5.0,-115.7427778,37.6447222
77,2.0,-97.4841667,41.6916667
78,4.0,-82.480653,27.150053
79,0.0,-117.9163889,45.565
80,2.0,-84.3055556,44.8838889
